0	11708
1	10284
2	6901
3	12384
4	8287
5	10092
6	10464
7	9460
8	9482
9	11489
10	9821
11	9410
12	13477
13	8944
14	11502
15	12195
16	11602
17	14241
18	7395
19	7252
20	10771
21	8417
22	10413
23	10043
24	9467
25	13863
26	11354
27	9811
28	9978
29	9402
30	9989
31	5074
32	9292
33	11197
34	7558
35	8903
36	13589
37	9033
38	9763
39	8798
40	12830
41	10904
42	7264
43	10958
44	10896
45	6525
46	6915
47	8386
48	10520
49	13256
50	8434
51	9970
52	6700
53	11382
54	11395
55	12470
56	12367
57	6889
58	11569
59	11981
60	8643
61	9619
62	5988
63	11737
64	10457
65	9673
66	12993
67	12412
68	10737
69	7437
70	7316
71	8849
72	8144
73	11799
74	7347
75	7089
76	11669
77	14320
78	9187
79	6684
80	5622
81	10851
82	15440
83	7570
84	11093
85	10464
86	8791
87	11740
88	9383
89	8944
90	12618
91	10324
92	9080
93	7298
94	8246
95	13559
96	9526
97	13275
98	12565
99	6795
